MPI_Processes,Memory_MB,Backend_Processes,Trial_Iteration,Checkpoint_min,Init_min,Memory Reg_min,Total_Execution_Sec_min,lib_Checkpoint Total_min,lib_Mem DeReg Wait_min,lib_Memory Copy_min,lib_Wait for checkpoint_min,Checkpoint_mean,Init_mean,Memory Reg_mean,Total_Execution_Sec_mean,lib_Checkpoint Total_mean,lib_Mem DeReg Wait_mean,lib_Memory Copy_mean,lib_Wait for checkpoint_mean,Checkpoint_median,Init_median,Memory Reg_median,Total_Execution_Sec_median,lib_Checkpoint Total_median,lib_Mem DeReg Wait_median,lib_Memory Copy_median,lib_Wait for checkpoint_median,Checkpoint_max,Init_max,Memory Reg_max,Total_Execution_Sec_max,lib_Checkpoint Total_max,lib_Mem DeReg Wait_max,lib_Memory Copy_max,lib_Wait for checkpoint_max
64,512,16,4,229.644088,2549.503256,109.718589,283.491124,229.598302,1.037526,227.910491,1.0878,235.79207776041667,3285.20234675,146.754150765625,283.491124,235.7595335668449,1613.9823811666665,233.6557941542553,1.8925312239583334,235.111624,3180.7527115000003,138.1182685,283.491124,235.070283,1.0594510000000001,233.64034099999998,1.0999585,245.497491,3760.842485,228.333724,283.491124,245.448839,8191.557774,236.478269,8.97112
64,512,16,5,222.909609,2577.591435,105.498228,283.222571,222.863392,1.056901,221.145104,1.08817,235.85301035416668,3272.687824828125,162.899413203125,283.222571,235.8294067,1486.065690875,233.56732536507937,2.0530976302083332,235.0589835,3241.3030045,147.28636649999999,283.222571,235.00698599999998,1.065382,233.649587,1.1023420000000002,245.988629,3805.902691,294.778631,283.222571,245.940057,7648.830753,238.141642,9.752247
64,512,16,6,219.595327,2438.85351,115.588252,284.058234,219.545353,1.056119,217.844338,1.083011,236.06651748958333,3162.012652265625,145.151739640625,284.058234,236.02948237894736,1529.5522998541667,233.7802183457447,2.0396703281249997,235.4017045,3146.1774944999997,140.4131065,284.058234,235.3675605,1.0697155,233.846296,1.1018214999999998,248.127814,3684.025984,204.503922,284.058234,248.082579,7779.545476,239.165979,9.646088
64,512,16,7,232.461659,2486.855596,112.994091,283.791661,232.411345,1.026244,230.667479,1.08743,235.67702866666664,3244.41542690625,146.119598671875,283.791661,235.66331996842104,1487.9491015677083,233.6263116972973,1.802980296875,235.033998,3184.220142,143.81591500000002,283.791661,235.017662,1.066675,233.60835,1.100859,245.362789,3748.188423,206.323887,283.791661,245.312174,7508.93696,238.592612,7.720338
64,512,16,8,228.604659,2587.850977,108.696533,284.332427,228.554165,1.05663,226.861926,1.081377,235.63738992187498,3258.654176359375,143.5001026875,284.332427,235.60692206806283,1486.3030169583333,233.511584655914,1.8560782670157068,234.9400305,3187.2336665000003,136.3288015,284.332427,234.916211,1.066134,233.4997025,1.097908,246.22416,3765.676618,212.756939,284.332427,246.166282,7633.363698,237.708725,9.911977
64,512,16,9,224.451212,2640.587513,107.498291,283.734856,224.400426,1.05627,222.664665,1.084954,235.89873604166667,3316.508987703125,141.1770313125,283.734856,235.86865228125,1648.5453472604167,233.40174049732622,2.241923984375,234.977967,3292.2518714999997,137.49553,283.734856,234.951081,1.0650870000000001,233.484422,1.103138,246.700847,3846.297824,215.058739,283.734856,246.638339,8532.712634,237.098433,9.676373
64,1024,16,0,454.347476,3006.47734,358.858618,591.437316,454.299455,1.056871,452.576778,1.086637,469.10539007291663,3563.3396298593752,489.472352375,591.437316,469.0719650631579,4005.53364409375,466.9041867783784,1.8983622751322753,468.1882625,3560.933081,473.286559,591.437316,468.1301775,1.065558,466.667005,1.102277,481.105364,4092.508761,725.493904,591.437316,481.039078,19660.29556,474.451774,9.839814
64,1024,16,1,456.425444,2415.791916,216.469138,573.736668,456.372594,1.011807,454.611165,1.090234,469.23539428124997,3227.769165765625,372.59055828125,573.736668,469.20137816753925,4209.0273899583335,466.47971720634916,2.4175011263157895,468.140202,3222.5562855,367.070234,573.736668,468.106021,1.065808,466.473869,1.1029775000000002,480.931552,3732.205997,600.396109,573.736668,480.8719,20610.684207,473.364864,9.84965
64,1024,16,2,454.607273,2593.403159,245.433373,554.331412,454.555524,1.05614,452.808773,1.060729,468.3740357864583,3230.244878234375,368.2363746875,554.331412,468.3389193578947,3999.374105098958,466.3516489,1.7683084791666666,467.7395555,3184.626625,367.92207499999995,554.331412,467.7095345,1.0681525,466.0890545,1.098991,482.049161,3731.133192,549.153815,554.331412,481.976494,19711.869141,473.728372,9.708093
64,1024,16,3,461.685197,2855.203019,225.380639,554.369106,461.63381,1.057092,459.963492,1.090084,469.08387862499995,3422.54365140625,394.781909015625,554.369106,469.03902632631576,3978.3198843124997,466.9435551914894,1.8713210260416666,468.3040425,3366.2063630000002,391.46644249999997,554.369106,468.2760145,1.066595,466.63551900000004,1.103885,481.931516,3928.246571,674.56732,554.369106,481.878325,19752.716932,475.403626,9.217037
